dim,k,Var3,r,steps,integral,a_1,a_2,a_3,a_4,a_5,u_1,u_2,u_3,u_4,u_5
5,5,cont,3,2433,0.473376514963634,0.332649655213339,0.484918276547482,0.428210315577424,0.484726755314727,0.382738985088381,0.00653692660244798,0.0419322032361951,0.870892177330941,0.444400581676349,0.442540532509408
5,6,cont,3,6993,0.473371722831036,0.332649655213339,0.484918276547482,0.428210315577424,0.484726755314727,0.382738985088381,0.00653692660244798,0.0419322032361951,0.870892177330941,0.444400581676349,0.442540532509408
5,7,cont,3,19313,0.473380020461154,0.332649655213339,0.484918276547482,0.428210315577424,0.484726755314727,0.382738985088381,0.00653692660244798,0.0419322032361951,0.870892177330941,0.444400581676349,0.442540532509408
5,8,cont,3,51713,0.473378840179995,0.332649655213339,0.484918276547482,0.428210315577424,0.484726755314727,0.382738985088381,0.00653692660244798,0.0419322032361951,0.870892177330941,0.444400581676349,0.442540532509408
5,1,cont,4,11,0.486968703595391,0.387658092130427,0.364309624558484,0.462506108376838,0.336944588021107,0.309615249571482,0.0218029817795918,0.820391081183784,0.287496057774423,0.867379666127282,0.860210812236999
5,2,cont,4,61,0.510469900006863,0.387658092130427,0.364309624558484,0.462506108376838,0.336944588021107,0.309615249571482,0.0218029817795918,0.820391081183784,0.287496057774423,0.867379666127282,0.860210812236999
5,3,cont,4,241,0.50946482429117,0.387658092130427,0.364309624558484,0.462506108376838,0.336944588021107,0.309615249571482,0.0218029817795918,0.820391081183784,0.287496057774423,0.867379666127282,0.860210812236999
5,4,cont,4,801,0.508549037387702,0.387658092130427,0.364309624558484,0.462506108376838,0.336944588021107,0.309615249571482,0.0218029817795918,0.820391081183784,0.287496057774423,0.867379666127282,0.860210812236999
5,5,cont,4,2433,0.508697485702245,0.387658092130427,0.364309624558484,0.462506108376838,0.336944588021107,0.309615249571482,0.0218029817795918,0.820391081183784,0.287496057774423,0.867379666127282,0.860210812236999
5,6,cont,4,6993,0.508668984585769,0.387658092130427,0.364309624558484,0.462506108376838,0.336944588021107,0.309615249571482,0.0218029817795918,0.820391081183784,0.287496057774423,0.867379666127282,0.860210812236999
5,7,cont,4,19313,0.508658434769121,0.387658092130427,0.364309624558484,0.462506108376838,0.336944588021107,0.309615249571482,0.0218029817795918,0.820391081183784,0.287496057774423,0.867379666127282,0.860210812236999
5,8,cont,4,51713,0.508659780133399,0.387658092130427,0.364309624558484,0.462506108376838,0.336944588021107,0.309615249571482,0.0218029817795918,0.820391081183784,0.287496057774423,0.867379666127282,0.860210812236999
